SPECIES_CODE,SPECIES_NAME,DISTRICT_CODE,DISTRICT_NAME,STRATUM_CODE,STRATUM_NAME
68560,Bairdi Tanner Crab,166TO173,Between 166W and 173W,166TO173,Between 166W and 173W Single
68560,Bairdi Tanner Crab,166TO173,Between 166W and 173W,STMATT_MTCA_E,St. Matthew MTCA East
68560,Bairdi Tanner Crab,E166,East of 166,E166,East 166
68560,Bairdi Tanner Crab,W166,West of 166,PRIB_MTCA,Pribilof MTCA
68560,Bairdi Tanner Crab,W166,West of 166,STMATT_MTCA,St. Matthew MTCA
68560,Bairdi Tanner Crab,W166,West of 166,W166,West 166
68560,Bairdi Tanner Crab,NBS,All Northern Bering Sea,NBS,Northern Bering Sea
68580,Opilio Crab,EBS,All Eastern Bering Sea,MULT,Multiple
68580,Opilio Crab,EBS,All Eastern Bering Sea,PRIB_MTCA,Pribilof MTCA
68580,Opilio Crab,EBS,All Eastern Bering Sea,SINGLE,Single
68580,Opilio Crab,EBS,All Eastern Bering Sea,STMATT_MTCA,St. Matthew MTCA
68580,Opilio Crab,NBS,All Northern Bering Sea,NBS,Northern Bering Sea
68590,Hybrid Tanner Crab,EBS,All Eastern Bering Sea,MULT,Multiple
68590,Hybrid Tanner Crab,EBS,All Eastern Bering Sea,PRIB_MTCA,Pribilof MTCA
68590,Hybrid Tanner Crab,EBS,All Eastern Bering Sea,SINGLE,Single
68590,Hybrid Tanner Crab,EBS,All Eastern Bering Sea,STMATT_MTCA,St. Matthew MTCA
68590,Hybrid Tanner Crab,NBS,All Northern Bering Sea,NBS,Northern Bering Sea
69322,Red King Crab,BB,Bristol Bay,BB,Bristol Bay
69322,Red King Crab,NORTH,Northern,NORTH,Northern Unstratified
69322,Red King Crab,PRIB,Pribilof Islands,PRIB_MTCA,Pribilof MTCA
69322,Red King Crab,PRIB,Pribilof Islands,PRIB,Pribilof Single
69322,Red King Crab,NS,Norton Sound,NS,Norton Sound
69322,Red King Crab,NBS,All Northern Bering Sea,NBS,Northern Bering Sea
69323,Blue King Crab,UNSTRAT,Unstratified,UNSTRAT,BKC Unstratified
69323,Blue King Crab,PRIB,Pribilof Islands,PRIB_MTCA,Pribilof MTCA
69323,Blue King Crab,PRIB,Pribilof Islands,PRIB,Pribilof Single
69323,Blue King Crab,STMATT,St. Matthew,STMATT_MTCA,St. Matthew MTCA
69323,Blue King Crab,STMATT,St. Matthew,STMATT,St. Matthew Single
69323,Blue King Crab,NBS,All Northern Bering Sea,NBS,Northern Bering Sea
69400,Horsehair Crab,BB,Bristol Bay,BB,Bristol Bay
69400,Horsehair Crab,NORTH,Northern,NORTH,Northern Unstratified
69400,Horsehair Crab,PRIB,Pribilof Islands,PRIB_MTCA,Pribilof MTCA
69400,Horsehair Crab,PRIB,Pribilof Islands,PRIB,Pribilof Single
69400,Horsehair Crab,STMATT,St. Matthew,STMATT_MTCA,St. Matthew MTCA
69400,Horsehair Crab,NBS,All Northern Bering Sea,NBS,Northern Bering Sea
