"Package","Version"
"abind","1.4-8"
"akfingapdata","0.1.0"
"akgfmaps","3.5.3"
"antiword","1.3.4"
"askpass","1.2.1"
"assertthat","0.2.1"
"backports","1.5.0"
"badger","0.2.4"
"base64enc","0.1-3"
"bbmle","1.0.25.1"
"bdsmatrix","1.3-7"
"bibliometrix","4.3.0"
"bibliometrixData","0.3.0"
"BiocManager","1.30.25"
"bit","4.5.0"
"bit64","4.5.2"
"bitops","1.0-9"
"blob","1.2.4"
"bookdown","0.40"
"brew","1.0-10"
"brio","1.1.5"
"broom","1.0.7"
"bslib","0.8.0"
"ca","0.71.1"
"cachem","1.1.0"
"callr","3.7.6"
"car","3.1-3"
"carData","3.0-5"
"cellranger","1.1.0"
"classInt","0.4-10"
"cli","3.6.3"
"clipr","0.8.0"
"coldpool","3.3-1"
"colorspace","2.1-1"
"commonmark","1.9.2"
"conflicted","1.2.0"
"corrplot","0.94"
"cowplot","1.1.3"
"cpp11","0.5.0"
"crayon","1.5.3"
"credentials","2.0.2"
"crosstalk","1.2.1"
"curl","5.2.3"
"data.table","1.16.0"
"datapasta","3.1.0"
"DBI","1.2.3"
"dbplyr","2.5.0"
"deldir","2.0-4"
"Deriv","4.1.6"
"desc","1.4.3"
"devtools","2.4.5"
"diffobj","0.3.5"
"digest","0.6.37"
"dimensionsR","0.0.3"
"distill","1.6"
"dlstats","0.1.7"
"doBy","4.6.24"
"dotCall64","1.2"
"downlit","0.4.4"
"dplyr","1.1.4"
"DT","0.33"
"dtplyr","1.3.1"
"e1071","1.7-14"
"ellipsis","0.3.2"
"evaluate","1.0.1"
"extrafont","0.19"
"extrafontdb","1.0"
"fansi","1.0.6"
"farver","2.1.2"
"fastmap","1.2.0"
"fields","16.3"
"filelock","1.0.3"
"flextable","0.9.6"
"FNN","1.1.4.1"
"fontawesome","0.5.2"
"fontBitstreamVera","0.1.1"
"fontLiberation","0.1.0"
"fontquiver","0.2.1"
"forcats","1.0.0"
"forecast","8.23.0"
"Formula","1.2-5"
"fracdiff","1.5-3"
"fs","1.6.4"
"ftExtra","0.6.4"
"gapctd","2.1.6"
"gapindex","2.2.0"
"GAPsurvey","2024.04.05"
"gargle","1.5.2"
"gdtools","0.4.0"
"generics","0.1.3"
"geojsonsf","2.0.3"
"geometries","0.2.4"
"gert","2.1.2"
"getPass","0.2-4"
"ggplot2","3.5.1"
"ggpubr","0.6.0"
"ggrepel","0.9.6"
"ggridges","0.5.6"
"ggsci","3.2.0"
"ggsignif","0.6.4"
"ggspatial","1.1.9"
"ggthemes","5.1.0"
"gh","1.4.1"
"gitcreds","0.1.2"
"glue","1.7.0"
"googledrive","2.1.1"
"googlesheets4","1.1.1"
"gridExtra","2.3"
"gstat","2.1-2"
"gsw","1.2-0"
"gtable","0.3.5"
"haven","2.5.4"
"here","1.0.1"
"highr","0.11"
"hms","1.1.3"
"htmltools","0.5.8.1"
"htmlwidgets","1.6.4"
"httpuv","1.6.15"
"httr","1.4.7"
"httr2","1.0.5"
"ids","1.0.1"
"igraph","2.0.3"
"ini","0.3.1"
"interp","1.1-6"
"intervals","0.15.5"
"isoband","0.2.7"
"janeaustenr","1.0.0"
"janitor","2.2.0"
"jpeg","0.1-10"
"jquerylib","0.1.4"
"jsonify","1.2.2"
"jsonlite","1.8.9"
"kableExtra","1.4.0"
"keyring","1.3.2"
"knitr","1.48"
"labeling","0.4.3"
"later","1.3.2"
"lazyeval","0.2.2"
"lifecycle","1.0.4"
"lme4","1.1-35.5"
"lmtest","0.9-40"
"lubridate","1.9.3"
"magrittr","2.0.3"
"maps","3.4.2"
"markdown","1.13"
"MatrixModels","0.5-3"
"memoise","2.0.1"
"microbenchmark","1.5.0"
"mime","0.12"
"miniUI","0.1.1.1"
"minqa","1.2.8"
"minty","0.0.1"
"modelr","0.1.11"
"munsell","0.5.1"
"mvtnorm","1.3-1"
"ndjson","0.9.0"
"nloptr","2.1.1"
"numDeriv","2016.8-1.1"
"oce","1.8-3"
"odbc","1.5.0"
"officedown","0.3.3"
"officer","0.6.7"
"openalexR","1.4.0"
"openssl","2.2.1"
"openxlsx","4.2.7.1"
"pbapply","1.7-2"
"pbkrtest","0.5.3"
"pdftools","3.4.1"
"pillar","1.9.0"
"pingr","2.0.3"
"pkgbuild","1.4.4"
"pkgconfig","2.0.3"
"pkgdown","2.1.1"
"pkgload","1.4.0"
"plotly","4.10.4"
"plyr","1.8.9"
"png","0.1-8"
"polynom","1.4-1"
"postcards","0.2.3"
"praise","1.0.0"
"prettyunits","1.2.0"
"processx","3.8.4"
"profvis","0.4.0"
"progress","1.2.3"
"promises","1.3.0"
"proxy","0.4-27"
"ps","1.8.0"
"pubmedR","0.0.3"
"purrr","1.0.2"
"qpdf","1.3.4"
"quadprog","1.5-8"
"quantmod","0.4.26"
"quantreg","5.98"
"R6","2.5.1"
"ragg","1.3.3"
"rapidjsonr","1.2.0"
"rappdirs","0.3.3"
"raster","3.6-30"
"rcmdcheck","1.4.0"
"RColorBrewer","1.1-3"
"Rcpp","1.0.13"
"RcppArmadillo","14.0.2-1"
"RcppEigen","0.3.4.0.2"
"RCurl","1.98-1.16"
"readODS","2.3.0"
"readr","2.1.5"
"readtext","0.91"
"readxl","1.4.3"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.5.0"
"rentrez","1.2.3"
"reprex","2.1.1"
"reshape2","1.4.4"
"rjson","0.2.23"
"rlang","1.1.4"
"rlist","0.4.6.2"
"rmapshaper","0.5.0"
"rmarkdown","2.28"
"RNetCDF","2.9-2"
"RODBC","1.3-23"
"rosm","0.3.0"
"roxygen2","7.3.2"
"rprojroot","2.0.4"
"rscopus","0.6.6"
"rstatix","0.7.2"
"rstudioapi","0.16.0"
"Rttf2pt1","1.3.12"
"rvcheck","0.2.1"
"rversions","2.1.2"
"rvest","1.0.4"
"rvg","0.3.4"
"s2","1.1.7"
"sass","0.4.9"
"scales","1.3.0"
"selectr","0.4-2"
"sessioninfo","1.2.2"
"sf","1.0-17"
"sfheaders","0.4.4"
"sftime","0.3.0"
"shadowtext","0.1.4"
"shiny","1.9.1"
"snakecase","0.11.1"
"SnowballC","0.7.1"
"sodium","1.3.2"
"sourcetools","0.1.7-1"
"sp","2.1-4"
"spacetime","1.3-2"
"spam","2.11-0"
"SparseM","1.84-2"
"stars","0.6-6"
"streamR","0.4.5"
"stringdist","0.9.12"
"stringi","1.8.4"
"stringr","1.5.1"
"striprtf","0.6.0"
"svglite","2.1.3"
"sys","3.4.3"
"systemfonts","1.1.0"
"terra","1.7-78"
"testthat","3.2.1.1"
"textshaping","0.4.0"
"tibble","3.2.1"
"tidyr","1.3.1"
"tidyselect","1.2.1"
"tidytext","0.4.2"
"tidyverse","2.0.0"
"timechange","0.3.0"
"timeDate","4041.110"
"tinytex","0.53"
"tokenizers","0.3.0"
"tseries","0.10-58"
"TTR","0.24.4"
"tzdb","0.4.0"
"units","0.8-5"
"urca","1.3-4"
"urlchecker","1.0.1"
"usethis","3.0.0"
"utf8","1.2.4"
"uuid","1.2-1"
"V8","5.0.1"
"vctrs","0.6.5"
"viridis","0.6.5"
"viridisLite","0.4.2"
"vroom","1.6.5"
"waldo","0.5.3"
"whisker","0.4.1"
"withr","3.0.1"
"wk","0.9.3"
"wordcloud","2.6"
"wordcloud2","0.2.1"
"wosr","0.3.0"
"xfun","0.47"
"XML","3.99-0.17"
"xml2","1.3.6"
"xopen","1.0.1"
"xtable","1.8-4"
"xts","0.14.0"
"yaml","2.3.10"
"yulab.utils","0.1.7"
"zip","2.3.1"
"zoo","1.8-12"
"base","4.4.1"
"boot","1.3-30"
"class","7.3-22"
"cluster","2.1.6"
"codetools","0.2-20"
"compiler","4.4.1"
"datasets","4.4.1"
"foreign","0.8-86"
"graphics","4.4.1"
"grDevices","4.4.1"
"grid","4.4.1"
"KernSmooth","2.23-24"
"lattice","0.22-6"
"MASS","7.3-60.2"
"Matrix","1.7-0"
"methods","4.4.1"
"mgcv","1.9-1"
"nlme","3.1-164"
"nnet","7.3-19"
"parallel","4.4.1"
"rpart","4.1.23"
"spatial","7.3-17"
"splines","4.4.1"
"stats","4.4.1"
"stats4","4.4.1"
"survival","3.6-4"
"tcltk","4.4.1"
"tools","4.4.1"
"translations","4.4.1"
"utils","4.4.1"
